NAME,DURATION
https://en.wikipedia.org/wiki/Software_metric,623.8999999761581
visible,0
https://en.wikipedia.org/w/load.php?lang=en&modules=codex-search-styles%7Cext.cite.styles%7Cext.uls.interlanguage%7Cext.visualEditor.desktopArticleTarget.noscript%7Cext.wikimediaBadges%7Cjquery.makeCollapsible.styles%7Cskins.vector.icons%2Cstyles%7Cskins.vector.zebra.styles%7Cwikibase.client.init&only=styles&skin=vector-2022,69.60000002384186
https://en.wikipedia.org/w/load.php?lang=en&modules=startup&only=scripts&raw=1&skin=vector-2022,96.90000009536743
https://en.wikipedia.org/w/load.php?lang=en&modules=site.styles&only=styles&skin=vector-2022,70.29999995231628
https://en.wikipedia.org/static/images/icons/wikipedia.png,113.10000002384186
https://en.wikipedia.org/static/images/mobile/copyright/wikipedia-wordmark-en.svg,101.70000004768372
https://en.wikipedia.org/static/images/mobile/copyright/wikipedia-tagline-en.svg,113.5
https://en.wikipedia.org/static/images/project-logos/enwiki-1.5x.png,61.299999952316284
https://en.wikipedia.org/w/load.php?modules=skins.vector.icons&image=menu&format=original&lang=en&skin=vector-2022&version=157zz,51.89999997615814
https://en.wikipedia.org/w/load.php?modules=skins.vector.icons&image=ellipsis&format=original&lang=en&skin=vector-2022&version=157zz,50
https://en.wikipedia.org/w/skins/Vector/resources/skins.vector.styles/images/arrow-down.svg?9426f,52.300000071525574
https://en.wikipedia.org/w/load.php?modules=skins.vector.icons&image=language&variant=progressive&format=original&lang=en&skin=vector-2022&version=157zz,52.299999952316284
https://en.wikipedia.org/w/skins/Vector/resources/skins.vector.styles/images/arrow-down-progressive.svg?f0b59,54.60000002384186
https://en.wikipedia.org/w/skins/Vector/resources/skins.vector.styles/images/bullet-icon.svg?d4515,53.5
https://en.wikipedia.org/w/skins/Vector/resources/skins.vector.styles/images/link-external-small-ltr-progressive.svg?30a3a,56.40000009536743
https://upload.wikimedia.org/wikipedia/commons/6/65/Lock-green.svg,187
https://upload.wikimedia.org/wikipedia/commons/4/4d/Icon_pdf_file.png,186.69999992847443
mwStartup,0
https://en.wikipedia.org/w/load.php?lang=en&modules=ext.gadget.ReferenceTooltips%2Cswitcher&skin=vector-2022&version=7q91c,53.299999952316284
https://en.wikipedia.org/w/load.php?lang=en&modules=ext.visualEditor.core.utils.parsing%7Cext.visualEditor.desktopArticleTarget.init%7Cext.visualEditor.progressBarWidget%2CsupportCheck%2CtargetLoader%2CtempWikitextEditorWidget%2Ctrack%2Cve&skin=vector-2022&version=mirdk,71.69999992847443
